number,source_doc,org_name,domain,robots_url,date_added,active,notes
1,Canadian,The Narwhal,thenarwhal.ca,https://thenarwhal.ca/robots.txt,2026-05-28,true,
2,Canadian,Canada's National Observer,nationalobserver.com,https://nationalobserver.com/robots.txt,2026-05-28,true,
3,Canadian,Canadian Climate Institute,climateinstitute.ca,https://climateinstitute.ca/robots.txt,2026-05-28,true,
4,Canadian,David Suzuki Foundation,davidsuzuki.org,https://davidsuzuki.org/robots.txt,2026-05-28,true,
5,Canadian,Pembina Institute,pembina.org,https://pembina.org/robots.txt,2026-05-28,true,
6,Canadian,The Energy Mix,theenergymix.com,https://theenergymix.com/robots.txt,2026-05-28,true,
7,Canadian,Clean Energy Canada,cleanenergycanada.org,https://cleanenergycanada.org/robots.txt,2026-05-28,true,
8,Canadian,The Tyee,thetyee.ca,https://thetyee.ca/robots.txt,2026-05-28,true,
9,Canadian,CBC,cbc.ca,https://cbc.ca/robots.txt,2026-05-28,true,
10,Canadian,The Hub,thehub.ca,https://thehub.ca/robots.txt,2026-05-28,true,
11,Canadian,Le Devoir,ledevoir.com,https://ledevoir.com/robots.txt,2026-05-28,true,
12,Canadian,La Presse,lapresse.ca,https://lapresse.ca/robots.txt,2026-05-28,true,
13,Canadian,The Globe and Mail,theglobeandmail.com,https://theglobeandmail.com/robots.txt,2026-05-28,true,
14,Canadian,The Walrus,thewalrus.ca,https://thewalrus.ca/robots.txt,2026-05-28,true,
15,Canadian,Toronto Star,thestar.com,https://thestar.com/robots.txt,2026-05-28,true,
16,Canadian,Ricochet Media,ricochet.media,https://ricochet.media/robots.txt,2026-05-28,true,
17,Canadian,Le Journal de Montréal,journaldemontreal.com,https://journaldemontreal.com/robots.txt,2026-05-28,true,
18,Canadian,Le Journal de Québec,journaldequebec.com,https://journaldequebec.com/robots.txt,2026-05-28,true,
19,Canadian,Ottawa Citizen (Postmedia),ottawacitizen.com,https://ottawacitizen.com/robots.txt,2026-05-28,true,
20,Canadian,CTV News (Bell Media),ctvnews.ca,https://ctvnews.ca/robots.txt,2026-05-28,true,
21,Canadian,TVO,tvo.org,https://tvo.org/robots.txt,2026-05-28,true,
22,Canadian,Radio-Canada,ici.radio-canada.ca,https://ici.radio-canada.ca/robots.txt,2026-05-28,true,
23,Canadian,Noovo Info (Bell Media),noovo.info,https://noovo.info/robots.txt,2026-05-28,true,
24,Canadian,The Canadian Press,thecanadianpressnews.ca,https://thecanadianpressnews.ca/robots.txt,2026-05-28,true,
25,Canadian,Maclean's,macleans.ca,https://macleans.ca/robots.txt,2026-05-28,true,
26,Canadian,Calgary Herald (Postmedia),calgaryherald.com,https://calgaryherald.com/robots.txt,2026-05-28,true,
27,Canadian,National Post (Postmedia),nationalpost.com,https://nationalpost.com/robots.txt,2026-05-28,true,
28,Canadian,Ecoanalytics,ecoanalyticscanada.org,https://ecoanalyticscanada.org/robots.txt,2026-05-28,true,
29,Canadian,West Coast Environmental Law,wcel.org,https://www.wcel.org/robots.txt,2026-05-28,true,
30,Canadian,East Coast Environmental Law,ecelaw.ca,https://www.ecelaw.ca/robots.txt,2026-05-28,true,
31,Canadian,CAPE (Canadian Association of Physicians for the Environment),cape.ca,https://cape.ca/robots.txt,2026-05-28,true,
32,Canadian,Equiterre,equiterre.org,https://www.equiterre.org/robots.txt,2026-05-28,true,
33,Canadian,Clean Prosperity,cleanprosperity.ca,https://cleanprosperity.ca/robots.txt,2026-05-28,true,
34,Canadian,Macdonald Laurier Institute,macdonaldlaurier.ca,https://macdonaldlaurier.ca/robots.txt,2026-05-28,true,
35,Canadian,Oil Sands alliance (pathways alliance),oilsandsalliance.ca,https://oilsandsalliance.ca/robots.txt,2026-05-28,true,
36,Canadian,Indigenous clean energy,indigenouscleanenergy.com,https://indigenouscleanenergy.com/robots.txt,2026-05-28,true,
37,Canadian,Indigenous climate hub,indigenousclimatehub.ca,https://indigenousclimatehub.ca/robots.txt,2026-05-28,true,
38,Canadian,First Nation Major Projects Coalition,fnmpc.ca,https://fnmpc.ca/robots.txt,2026-05-28,true,
39,Canadian,Indigenous climate action,indigenousclimateaction.com,https://www.indigenousclimateaction.com/robots.txt,2026-05-28,true,
40,Canadian,APTN,aptn.org,https://www.aptn.org/robots.txt,2026-05-28,true,
41,Canadian,IISD,iisd.org,https://www.iisd.org/robots.txt,2026-05-28,true,
42,Canadian,ecojustice,ecojustice.ca,https://ecojustice.ca/robots.txt,2026-05-28,true,
43,Canadian,Global News,globalnews.ca,https://globalnews.ca/robots.txt,2026-05-28,true,
44,Canadian,Edmonton Journal (Postmedia),edmontonjournal.com,https://edmontonjournal.com/robots.txt,2026-05-28,true,
45,Canadian,Regina Leader-Post (Postmedia),leaderpost.com,https://leaderpost.com/robots.txt,2026-05-28,true,
46,Polling,Environics,environics.ca,https://environics.ca/robots.txt,2026-05-28,true,
47,Polling,Leger,leger360.com,https://leger360.com/robots.txt,2026-05-28,true,
48,Polling,Nanos,nanos.co,https://nanos.co/robots.txt,2026-05-28,true,
49,Polling,Abacus,abacusdata.ca,https://abacusdata.ca/robots.txt,2026-05-28,true,
50,Polling,Angus Reid,angusreid.org,https://angusreid.org/robots.txt,2026-05-28,true,
